url,price,part_number
https://encompass.com/item/6894947/GE/WR01X10038/,,WR01X10038
https://encompass.com/item/10848613/GE/WB24X26575/,,WB24X26575
https://encompass.com/item/6895054/GE/WR01X10161/, 9.95 USD ,WR01X10161
https://encompass.com/item/6895017/GE/WR01X10123/, 6.95 USD ,WR01X10123
https://encompass.com/item/6894930/GE/WR01X10019/, 12.95 USD ,WR01X10019
https://encompass.com/item/9335961/GE/WR01X10623/, 12.95 USD ,WR01X10623
https://encompass.com/item/6854263/GE/WB02X11078/, 44.95 USD ,WB02X11078
https://encompass.com/item/12641091/GE/WD02X27754/, 12.95 USD ,WD02X27754
https://encompass.com/item/6857205/GE/WB07X10825/, 102.95 USD ,WB07X10825
https://encompass.com/item/6857206/GE/WB07X10826/, 102.95 USD ,WB07X10826
https://encompass.com/item/12641085/GE/WD01X27719/, 12.95 USD ,WD01X27719
https://encompass.com/model/HOTZGU36N4DH4SS,,ZGU36N4DH4SS
https://encompass.com/item/6895021/GE/WR01X10127/, 19.95 USD ,WR01X10127
https://encompass.com/item/6145276/LG/3858W3T006Z/, 6.95 USD ,3858W3T006Z
https://encompass.com/item/9165976/Haier/MW-1870-04/,,MW-1870-04
https://encompass.com/item/9728784/Haier/251505800115/,,251505800115
https://encompass.com/item/12432356/GE/WD02X25303/, 12.95 USD ,WD02X25303
https://encompass.com/model/HOTZIFS36NMBLH,,ZIFS36NMBLH
https://encompass.com/item/6866814/GE/WB28X10063/, 206.95 USD ,WB28X10063
https://encompass.com/item/6907402/GE/WR40X1760/, 61.95 USD ,WR40X1760
https://encompass.com/item/6907403/GE/WR40X1761/, 49.95 USD ,WR40X1761
https://encompass.com/item/9728766/Haier/251505900116/, 9.63 USD ,251505900116
https://encompass.com/item/6908707/GE/WR71X10196/,,WR71X10196
https://encompass.com/item/6958912/Electrolux/5303003020/, 96.95 USD ,5303003020
https://encompass.com/item/6908708/GE/WR71X10197/,,WR71X10197
https://encompass.com/item/6895056/GE/WR01X10163/, 5.95 USD ,WR01X10163
https://encompass.com/item/10079808/GE/WB27X11212/, 40.95 USD ,WB27X11212
https://encompass.com/item/6907404/GE/WR40X1762/, 62.95 USD ,WR40X1762
https://encompass.com/item/6902048/GE/WR17X3318/,,WR17X3318
